idStazione;Stazione;Provincia;Quota;UTM_Nord;UTM_EST;Fiume;Bacino;IdDV;IdNeve;idTerm;IdVV;IdPluv;IdIdro;IdRG;IdUR
916;PIZZIGHETTONE ponte Trento e Trieste;CR;47;5003947,39000000;561219,35000000;Adda;ADDA SUBLACUALE;;;;;;8394;;
998;LAVENO-MOMBELLO p.zza Matteotti;VA;207;5084109,01000000;470426,05000000;Verbano;VERBANO;11862;;8588;11669;8587;;;
999;LAVENO-MOMBELLO Poggio S.Elsa;VA;950;5084222,00000000;471939,00000000;;;11863;;8584;11670;8583;;;8585
1074;ASOLA v. Carducci;MN;39;5008416,89000000;610514,70000000;Chiese;OGLIO SUBLACUALE;;;;;;11165;;
1075;EDOLO Centrale ENEL;BS;659;5113706,00000000;603479,00000000;;;11835;;;11649;;;11228;
1076;CHIAVENNA Inferno;SO;403;5130276,77000000;528984,11000000;Liro;MERA;;;;;;11988;;
1077;OLTRE IL COLLE Zambla;BG;1138;5082261,00000000;561209,00000000;;;14004;9037;14014;14005;14018;;14019;14001
1078;ORIO LITTA SS234;LO;196;5001496,50000000;541819,54000000;Lambro;LAMBRO;;;;;;14021;;
1079;SESTO CALENDE alzaia;VA;58;5063460,28000000;471791,70000000;Verbano;VERBANO;;;;;;14024;;
1200;PORLEZZA via Porto Letizia;CO;272;5098085,45000000;508966,98000000;Ceresio;CERESIO;;;;;;11099;;
1201;CANEVINO ;PV;455;4975743,87000000;521751,79000000;;;;;9019;;9108;;;9396
1202;VERCANA ;CO;980;5114303,98000000;525058,93000000;;;11864;;11216;9074;9117;;14161;9388
1203;CAMERATA CORNELLO via Orbrembo 37;BG;450;5082983,16000000;551079,10000000;Brembo;ADDA SUBLACUALE;;;;;;9079;;
1205;MOLTENO Cimitero;LC;278;5069985,71000000;523872,36000000;Bevera;LAMBRO;;;9017;;9106;9084;;11020
1206;CAVARIA CON PREMEZZO v. Cantalupa;VA;274;5059567,32000000;485026,52000000;Arno;TICINO SUBLACUALE;;;9027;;9116;9087;;14627
1208;OLGIATE COMASCO casa Cantalupo;CO;382;5071532,17000000;498419,49000000;;;;;9033;;9122;;;
1209;ROTA D'IMAGNA ;BG;674;5076380,39000000;539709,20000000;;;;;9034;;9123;;;9395
1210;RANZANICO ;BG;486;5070741,00000000;572525,00000000;;;;;9001;;9090;;;9384
1211;CASTRONNO ;VA;379;5066146,25000000;486058,56000000;;;14030;;9002;9073;9091;;;
1212;CASTIONE DELLA PRESOLANA ;BG;1180;5086647,98000000;582441,98000000;;;;9035;9003;;9092;;;9387
1213;MEZZOLDO Ronchi;BG;988;5095843,89000000;551256,30000000;;;;9036;9004;;9093;;;9394
1214;OLTRE IL COLLE Acquedotto;BG;1084;5082095,12000000;559544,98000000;;;;11383;9005;;9094;;;9392
1215;TALEGGIO ;BG;763;5082304,23000000;543960,21000000;;;;9039;9007;;9096;;;
1216;VALBONDIONE ;BG;1784;5101745,73000000;580328,19000000;;;;9040;9008;;9097;;;9390
1217;SCHILPARIO ;BG;1096;5095451,80000000;588221,98000000;;;;9038;9006;;9095;;;9130
1218;ARDESIO Valcanale;BG;1002;5088916,98000000;566917,09000000;;;;;9030;;9119;;;9391
1219;CASALBUTTANO ED UNITI ;CR;56;5011836,35000000;575599,24000000;;;;;9031;;9120;;;14165
1220;PONTE DI LEGNO Case Pirli;BS;1640;5128139,55000000;616030,57000000;;;;9042;9013;;9102;;;9398
1221;CASNIGO Campo Sportivo;BG;502;5073453,46000000;567252,05000000;;;;;9024;;9113;;;9386
1222;CAVARGNA ;CO;1100;5104225,35000000;508568,98000000;;;11226;9044;9020;11225;9109;;;9399
1224;CORTENOVA ;LC;456;5094947,19000000;529451,70000000;;;;;9016;;9105;;;11021
1225;PREMANA Diga di Pagnona;LC;725;5100122,07000000;531422,70000000;;;;;9018;;9107;;;11100
1226;GARDONE VAL TROMPIA v. della Vittoria;BS;340;5060468,37000000;592333,34000000;Mella;OGLIO SUBLACUALE;;;;;;9081;;
1227;SAREZZO Gardone;BS;338;5060559,36000000;592390,34000000;;;;;9009;;9098;;;9383
1228;GOITO ;MN;30;5013581,87000000;630514,24000000;;;;;9025;;9114;;;
1229;GANDELLINO Grabiasca;BG;738;5095336,85000000;573386,21000000;Serio;ADDA SUBLACUALE;;;9015;;9104;9083;;
1230;SAN GIACOMO FILIPPO Lago Truzzo;SO;2064;5134156,84000000;524616,25000000;;;11159;9041;9011;11160;9100;;;11158
1232;LAVENA PONTE TRESA depuratore;VA;279;5090577,87000000;489263,90000000;;;;;9023;;9112;;;9380
1233;LURAGO MARINONE ;CO;296;5061867,27000000;497850,38000000;;;14634;;9026;14635;9115;;;
1234;OSNAGO ;LC;234;5058312,79000000;530261,13000000;;;;;9021;;9110;;;
1235;CENE Ponte;BG;361;5070400,00000000;563860,00000000;Serio;ADDA SUBLACUALE;;;9010;;9099;9082;;
1236;PORLEZZA Ponte Cuccio;CO;304;5098356,41000000;510909,97000000;Cuccio;CUCCIO;;;9022;;9111;9086;;9382
