numero_stazione,nome_stazione,longitudine,latitudine,cluster,lon_cluster,lat_cluster,cluster_id_nil,cluster_nil
1,Duomo,9.189141462641915,45.46474597340785,34,9.187361690674797,45.46342011366804,1,DUOMO
3,Cadorna 1,9.175661673055156,45.46800286489534,39,9.176115773940372,45.469922428064365,1,DUOMO
4,Lanza,9.181970059045604,45.47227398001715,25,9.1829286402831,45.46866367484173,2,BRERA
5,Universita' Cattolica,9.176411553596576,45.46312096737842,19,9.175444570877287,45.46359429786059,1,DUOMO
6,San Giorgio,9.18366605858828,45.46088788086489,15,9.182666605192644,45.45935846619887,1,DUOMO
7,Santa Maria Beltrade,9.186745326611511,45.46284824996911,34,9.187361690674797,45.46342011366804,1,DUOMO
8,Velasca,9.19029606587832,45.46010042667759,23,9.19269350230949,45.45875343246146,1,DUOMO
9,S. Stefano,9.195239434282264,45.46237015894886,2,9.193675114413013,45.465106361329404,1,DUOMO
10,Missori,9.18824619107111,45.46131859260033,34,9.187361690674797,45.46342011366804,1,DUOMO
11,Castello - Acquario civico,9.179319559595502,45.47251701348578,39,9.176115773940372,45.469922428064365,1,DUOMO
12,"San Lorenzo - ""Colonne""",9.181626953089728,45.45860344599093,15,9.182666605192644,45.45935846619887,1,DUOMO
13,Senato,9.197534248930417,45.47050593175577,41,9.195421449214294,45.471587771245474,1,DUOMO
14,San Barnaba H Mangiagalli,9.198447697731355,45.45951374526344,44,9.199715382654704,45.460830133345866,4,GUASTALLA
15,Cantore,9.172674371555331,45.45587366154497,1,9.169255922191581,45.45293322577026,44,PORTA TICINESE - CONCHETTA
16,Moscova,9.184533827608986,45.477544986253605,10,9.180432613299287,45.47889805449334,69,SARPI
17,Legnano Arena civica,9.180886079168731,45.477148321057975,10,9.180432613299287,45.47889805449334,69,SARPI
18,Tommaseo,9.166652007489404,45.46955639845393,42,9.167761624987874,45.46905782814461,7,MAGENTA - S. VITTORE
20,Erculea,9.189644818998415,45.45909579652023,23,9.19269350230949,45.45875343246146,1,DUOMO
21,Universita' Bocconi,9.190409240070856,45.448632567295896,8,9.19089698148961,45.45000823656744,5,PORTA VIGENTINA - PORTA LODOVICA
22,Medaglie d'Oro 1,9.203350422343458,45.45161201948631,14,9.202723290182115,45.45147699043599,27,PTA ROMANA
23,Regina Margherita,9.205300766700963,45.45825047191478,35,9.206360107929576,45.460416549801586,4,GUASTALLA
25,Centrale 1,9.202492563661446,45.48541018794012,29,9.203890837951379,45.48454396672953,10,STAZIONE CENTRALE - PONTE SEVESO
26,Centrale 2,9.204244247011944,45.48453931744756,29,9.203890837951379,45.48454396672953,10,STAZIONE CENTRALE - PONTE SEVESO
27,Porta Venezia,9.204531507779365,45.47463554923964,4,9.204764432866272,45.474531291857176,3,GIARDINI P.TA VENEZIA
28,San Giovanni sul Muro,9.181432580678797,45.467565705287264,25,9.1829286402831,45.46866367484173,2,BRERA
29,San Pietro in Gessate,9.20139318404943,45.46239174038339,44,9.199715382654704,45.460830133345866,4,GUASTALLA
30,Crocetta,9.195717519846108,45.45622444568411,23,9.19269350230949,45.45875343246146,1,DUOMO
32,Manin - Bastioni,9.198315723354154,45.47685983498168,18,9.198531959966315,45.47925806597348,10,STAZIONE CENTRALE - PONTE SEVESO
33,Triennale,9.173652222122325,45.47181390614776,39,9.176115773940372,45.469922428064365,1,DUOMO
34,Cairoli,9.182153751483126,45.46765301744008,25,9.1829286402831,45.46866367484173,2,BRERA
35,Torino - Carrobbio,9.181883322281031,45.46049099047892,15,9.182666605192644,45.45935846619887,1,DUOMO
36,San Vito,9.18372934798512,45.45924090413592,15,9.182666605192644,45.45935846619887,1,DUOMO
