id_amat;ubicazione;linee;LONG_X_4326;LAT_Y_4326;Location
13837;"V.le Italia, 593 prima di Via Pelucca";701;9.2597800145457;45.5533436332598;"(45.5533436332598, 9.2597800145457)"
13840;"V.le Italia, 495 prima di Via Migliorini";701;9.2532648338907;45.5446467156881;"(45.5446467156881, 9.2532648338907)"
13841;"V.le Italia, 473";701;9.24982819438139;45.5412834365698;"(45.5412834365698, 9.24982819438139)"
13842;V.le Italia prima di Via Mazzini;701;9.24678113547316;45.5383152521776;"(45.5383152521776, 9.24678113547316)"
13845;"V.le Italia, 185 prima di Via Tonale";700;9.23945685718162;45.5312290993893;"(45.5312290993893, 9.23945685718162)"
13846;"V.le Italia, 115 prima di Via Cadorna";700;9.23765457660594;45.5293831690601;"(45.5293831690601, 9.23765457660594)"
13847;V.le Edison dopo Via Oberdan;53;9.23207328646257;45.5248778293862;"(45.5248778293862, 9.23207328646257)"
13849;"V.le Italia, 72 dopo Via Oberdan";700;9.23263071693733;45.5261126593843;"(45.5261126593843, 9.23263071693733)"
13850;"V.le Italia, prima di Via 24 Maggio";700;9.23668596669073;45.5282015561243;"(45.5282015561243, 9.23668596669073)"
13851;V.le Italia prima di V.le Rimembranze;700;9.23991193682558;45.5312801441692;"(45.5312801441692, 9.23991193682558)"
13853;V.le Italia prima di Via Gen. Cantore;"701,702";9.24320510782856;45.5344436812499;"(45.5344436812499, 9.24320510782856)"
13854;"V.le Italia, 548 dopo Via Mazzini";701;9.24667658813328;45.5378384296308;"(45.5378384296308, 9.24667658813328)"
13855;"V.le Italia, 578";701;9.24971887215398;45.5408201288354;"(45.5408201288354, 9.24971887215398)"
13856;"V.le Italia, 594 dopo Via Lambro";701;9.25323413593473;45.5442282419612;"(45.5442282419612, 9.25323413593473)"
13859;V.le Italia prima di Via Tevere;701;9.25971222379434;45.5528635720934;"(45.5528635720934, 9.25971222379434)"
13860;"Via S.Maurizio al Lambro, 66 prima di Via Tagliamento";701;9.26297801746527;45.5536526883255;"(45.5536526883255, 9.26297801746527)"
13861;"Via F.Filzi, 1 dopo L.go Gramsci";701;9.26696892954457;45.5483795894943;"(45.5483795894943, 9.26696892954457)"
13862;"Via C.Battisti, 69";"701,709";9.26872471758988;45.5457850479132;"(45.5457850479132, 9.26872471758988)"
13863;"Via Curiel, 8 dopo Via C. Battisti";701;9.27025083624406;45.5447473572514;"(45.5447473572514, 9.27025083624406)"
13864;V.le Lombardia dopo Via Curiel;701;9.27499130768438;45.543948479421;"(45.543948479421, 9.27499130768438)"
13865;"V.le Lombardia, 107 prima di Via Respighi";701;9.27499765911946;45.5409781671512;"(45.5409781671512, 9.27499765911946)"
13867;"V.le Lombardia, 39 prima di Via Perugino";701;9.27483293090997;45.5370676696986;"(45.5370676696986, 9.27483293090997)"
13868;"V.le Lombardia, 1 prima di Via Sanzio";701;9.27475408260822;45.5353396844455;"(45.5353396844455, 9.27475408260822)"
