numero_stazione,nome_stazione,anno,null_obs_ranking,nil,id_nil,municipio,longitudine,latitudine
087,Porta Genova,2012,very_low,PORTA TICINESE - CONCHETTA,44,6,9.169638519756658,45.45290738222781
088,Beatrice d'Este - Cassolo,2009,very_low,PORTA VIGENTINA - PORTA LODOVICA,5,1,9.197566326376887,45.452228145344975
089,Patellani,2009,very_low,PORTA VIGENTINA - PORTA LODOVICA,5,5,9.194152437147938,45.45166630651848
091,Gioia - Pirelli,2009,very_low,PORTA GARIBALDI - PORTA NUOVA,9,9,9.195902455633338,45.484042757604946
092,Cordusio - Casati,2009,low,DUOMO,1,1,9.185506510643659,45.46548549680914
093,Borgogna,2009,very_low,DUOMO,1,1,9.19978661686939,45.46584404985675
094,Cadorna 3,2012,very_low,MAGENTA - S. VITTORE,7,1,9.176262780830227,45.46807109936462
095,De Amicis - Conca Del Naviglio,2009,very_low,PORTA TICINESE - CONCA DEL NAVIGLIO,6,1,9.178649094358283,45.45828448644008
096,"Donizzetti ""Provincia""",2009,very_low,GUASTALLA,4,1,9.204456466881402,45.46733553768258
097,Molino delle Armi,2009,very_low,PORTA TICINESE - CONCA DEL NAVIGLIO,6,1,9.182327954323013,45.45699415579502
098,San Marco,2009,very_low,BRERA,2,1,9.189236648396802,45.47876873001231
099,Arco della Pace 1 - Bertani,2009,very_low,PARCO SEMPIONE,8,1,9.173448947562825,45.47620016202649
100,Palazzo Marino - Caserotte,2012,very_low,DUOMO,1,1,9.191349344684747,45.46676603340708
101,Gadio - Paleocapa,2009,very_low,PARCO SEMPIONE,8,1,9.175636615335556,45.47008609484404
102,Arcivescovado,2009,very_low,DUOMO,1,1,9.193153087856397,45.46379418124931
103,Arco della Pace 2 - Pagano,2009,very_low,PARCO SEMPIONE,8,1,9.17165611710772,45.475036032075906
104,"M. Gioia - ""Regione""",2011,very_low,PORTA GARIBALDI - PORTA NUOVA,9,9,9.196800099015855,45.486156431752164
105,Piazzale Lodi,2011,very_low,PTA ROMANA,27,4,9.209905983366593,45.447748562979434
106,Restelli - Galvani RL 1,2012,very_low,ISOLA,11,9,9.194633674315195,45.48730634212419
107,S. Gioachimo,2012,very_low,PORTA GARIBALDI - PORTA NUOVA,9,9,9.197010449403571,45.48087616959989
108,Tunisia - Cozzi,2011,very_low,STAZIONE CENTRALE - PONTE SEVESO,10,2,9.201576058276487,45.47896542443961
109,Tunisia Lecco Bellintani,2013,very_low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.20475566650321,45.47746092852826
110,S. F. Romana,2012,very_low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.208494775863223,45.476338203101804
111,B. Marcello - Boscovich,2013,very_low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.20755217712876,45.48022160833556
112,Napo Torriani De Lellis,2011,very_low,STAZIONE CENTRALE - PONTE SEVESO,10,2,9.203226540091675,45.48253544959739
113,Buenos Aires - Lima,2012,very_low,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3,9.211366416146555,45.480369750646595
